loc,IN
https://www.woolworths.com.au/shop/browse/specials/half-price,1
https://www.woolworths.com.au/shop/browse/specials/prices-dropped,0
https://www.woolworths.com.au/shop/browse/specials/low-price,0
https://www.woolworths.com.au/shop/browse/specials/buy-more-save-more,0
